"path","role","sha256_at_read","read_date","note"
"README.md","project README","7f41f4a3d5141c6a7afa4211c59b832b7929eec62bc33f3725fedb3af2e747ee","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"models/README.md","project README","8acde6c83c0ce433075e3cee16a5728c6ad78149a0a2d82569f3c90aa83b23ea","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"notebooks/README.md","project README","9b9478757f7cc6e00ad5b3fc047aecdad735bd986a1c7d1521c5ca497aa55b77","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"configs/README.md","project README","7163a019a9a1580021ee1d352473b218c05f302ecf2e4aa5d6cbbf00ee85cda0","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"dashboard/README.md","project README","8c5b3b1e211cf8910caac896257092cf20b8e315a8dac3ed06b749233e50175b","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"docs/README.md","project README","ef51bbe96f5a7a63cb9d6ecb4d2f0b178468a62245d3dc0c80edaab890a478a8","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"data/README.md","project README","8764df0276abe2c12d691248a9a5f58e51aeba37b1e00346e6360831abd00114","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"tests/README.md","project README","232b9928fac9afc015ae8cd64984ab248fcf703876c1f507188179ade6f4746b","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"data/raw/README.md","project README","be49a19f283b6178fc98944e7ea9925449eda9993766b8b339f77003dad3b876","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"data/processed/README.md","project README","0b51adf2fa098cb0bff660d40b18bc033407a5760260fdca002e8f9c899254de","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/README.md","project README","2d056581abd426f14524a93646c7bd5c8ad2f107f9bf156a65814949adaceafe","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/tables/README.md","project README","4c5d6abf407c31783a41a20e432de4b3387231546aed8d2a0f73b122493cf52e","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/figures/README.md","project README","eac2dd8178a13c0da495410b32628a5ec3c0667ce99f672f7812eb32f4ca3714","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"../week2_sub/W2完成报告_2026-09-09.md","requirement source","48e32c9f1e2692a40799b8ad38e6602a9763295cea2e8cb4ac84361aa52447e8","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"../week2_sub/项目结构与构成说明.md","requirement source","c33549d1536e3fad4bc609c19f6dcbe987feedc90352d20a0dda5c973878385a","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/w2_to_w3_cleaning_recommendations.md","requirement source","6ad89e13b19cbba5d17f607b9bd0c4a678a4f180c942369da490dc7bc4c8daa5","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/data_contract_v1.md","requirement source","1b82b45375c035acc687dc13f648f1f03b859cf2fdf52edc1143ab78a74380d0","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"reports/roadmap_8w_v1.md","requirement source","d4394a50fd2bc3bdb48690c2fc2aedfa8a36a71d75727f3209dd7b3c8b68a814","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"references/project_brief_extracted.txt","requirement source","888ac13594004e7648f9f36eaea703d526c7ab96df13be578ebf1f2f17722afe","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
"docs/project/Azure客户流失预测与CLV提升_项目介绍.md","requirement source","a0c41900d57b326dc720784df4d415b66c804fc3b3087741c8e64e6dd709b7ec","2026-09-16","Read before W3 navigation updates; excludes third-party environment files"
